ps_number,mfg_part_number,name,brand,appliance_type,price,in_stock,rating,review_count,installation_difficulty,source_url
PS3409465,5303918492,Uni Refrigerator EVAPORATOR KIT,Frigidaire,refrigerator,242.0,False,,,,https://www.partselect.com/PS3409465-Frigidaire-5303918492-EVAPORATOR-KIT.htm
PS2350551,241707714,Uni Refrigerator STARTER-PTC,Frigidaire,refrigerator,48.95,False,,,,https://www.partselect.com/PS2350551-Frigidaire-241707714-STARTER-PTC.htm
PS11703639,241830904,Uni Refrigerator TUBE-DRAIN,Frigidaire,refrigerator,21.44,True,,,,https://www.partselect.com/PS11703639-Frigidaire-241830904-TUBE-DRAIN.htm
PS3419045,241856904,Uni Refrigerator TUBE-CONNECTOR,Frigidaire,refrigerator,37.27,False,,,,https://www.partselect.com/PS3419045-Frigidaire-241856904-TUBE-CONNECTOR.htm
PS2350503,215346900,Uni Refrigerator TUBE-PROCESS,Frigidaire,refrigerator,15.92,True,,,,https://www.partselect.com/PS2350503-Frigidaire-215346900-TUBE-PROCESS.htm
PS2361633,5303918428,Uni Refrigerator HOT TUBE REPAIR KIT,Frigidaire,refrigerator,514.81,False,,,,https://www.partselect.com/PS2361633-Frigidaire-5303918428-HOT-TUBE-REPAIR-KIT.htm
PS1148428,241609201,Uni Refrigerator PIPE,Frigidaire,refrigerator,10.1,False,,,,https://www.partselect.com/PS1148428-Frigidaire-241609201-PIPE.htm
PS899458,240597301,Uni Refrigerator TUBE-DRAIN,Frigidaire,refrigerator,47.91,False,,,,https://www.partselect.com/PS899458-Frigidaire-240597301-TUBE-DRAIN.htm
PS12347929,W11162443,Maytag Refrigerator Crisper Drawer,Whirlpool,refrigerator,95.89,True,5.0,26,Very Easy,https://www.partselect.com/PS12347929-Whirlpool-W11162443-Crisper-Drawer.htm
PS12070396,W11043011,Maytag Refrigerator LED Light Module,Whirlpool,refrigerator,68.89,True,4.9,46,Really Easy,https://www.partselect.com/PS12070396-Whirlpool-W11043011-LED-Light-Module.htm
PS16555201,W11527432,Maytag Refrigerator LED Light Module,Whirlpool,refrigerator,66.89,True,4.9,15,Really Easy,https://www.partselect.com/PS16555201-Whirlpool-W11527432-LED-Light-Module.htm
